2020-12-22 17:35:33 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:34 INFO  Logger:24 - Miss down
2020-12-22 17:35:34 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:35 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:37 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:38 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:39 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:40 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:41 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:43 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:44 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:45 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:46 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:47 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:48 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:49 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:50 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:51 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:54 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:56 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:56 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:56 INFO  Logger:24 - Miss up
2020-12-22 17:35:56 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:57 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:35:58 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:00 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:02 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:03 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:04 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:05 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:06 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:07 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:08 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:09 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:10 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:10 INFO  Logger:24 - Waiting for disappear : Battle field disabled
